model_name,colsample_bytree,learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,train_accuracy,train_roc_auc,train_precision_1,train_recall_1,train_f1_1,val_accuracy,val_roc_auc,val_precision_1_at_0.5,val_recall_1_at_0.5,val_f1_1_at_0.5,best_threshold,val_precision_1,val_recall_1,val_f1_1
xgboost_model_273,0.8,0.03,7,1100,1,0.8,0.9725774347371586,0.9874887976111979,0.8810461635418307,0.6452059536171686,0.744904755561476,0.958700882117081,0.9562108521382056,0.7518248175182481,0.4991922455573506,0.6,0.27,0.5943889681407513,0.6731287022078621,0.6313131313131313
xgboost_model_269,0.8,0.03,7,900,1,0.8,0.9702719344722409,0.9852524202821852,0.8661800486618005,0.6161301488404292,0.7200647249190939,0.9586006415396953,0.9561776357270233,0.754950495049505,0.4927302100161551,0.5962854349951124,0.27,0.5907372400756143,0.6731287022078621,0.6292474200855777
xgboost_model_249,0.8,0.03,5,1100,1,0.8,0.9633053141065112,0.9753406302728016,0.8145648312611012,0.5291334948655821,0.6415331887808631,0.9581328521785619,0.956155632132668,0.7559322033898305,0.48034464189553044,0.5874217978268028,0.3,0.6096311475409836,0.6408185245018848,0.624835914938304
xgboost_model_265,0.8,0.03,7,700,1,0.8,0.9674938782524022,0.9821629101223135,0.8475661108303857,0.5805930541133033,0.6891262667762257,0.9586006415396953,0.9561475654269781,0.7566445182724253,0.4905761981690899,0.5952303168899052,0.27,0.5902415916627191,0.6709746903607969,0.6280241935483871
xgboost_model_293,0.8,0.05,5,900,1,0.8,0.9656322941875618,0.9788390174345298,0.8281011369421347,0.5630552671051113,0.6703296703296703,0.9580994386527666,0.9560823219880921,0.7461224489795918,0.4921917070543888,0.5931213497728748,0.36,0.6508120649651972,0.6042003231017771,0.6266406031834683
xgboost_model_261,0.8,0.03,6,1100,1,0.8,0.9674867183136913,0.9817420722443208,0.8480094466936572,0.580016153224876,0.6888660500171292,0.958299919807538,0.9560419500924333,0.7493857493857494,0.4927302100161551,0.594541910331384,0.29,0.6049627791563276,0.6564351103931072,0.6296487603305785
xgboost_model_297,0.8,0.05,5,1100,1,0.8,0.9672074807039652,0.9810476117092831,0.8410949757970289,0.5814007153571017,0.6875426388320371,0.9584001603849238,0.9560097216368826,0.747172859450727,0.498115239633818,0.5977382875605816,0.29,0.5995121951219512,0.66182014001077,0.6291272075761454
xgboost_model_257,0.8,0.03,6,900,1,0.8,0.9657683330230693,0.9792797801240067,0.8355785837651123,0.5582092996423215,0.6692951511378571,0.9581328521785619,0.9559364019005043,0.7516666666666667,0.4857296715131933,0.5901210336931633,0.28,0.5933429811866859,0.6623586429725363,0.6259541984732825
xgboost_model_289,0.8,0.05,5,700,1,0.8,0.9636060315323701,0.9760024040585955,0.8111111111111111,0.5390561901465328,0.6476744992028834,0.9579991980753809,0.9559134007587154,0.7491694352159468,0.4857296715131933,0.5893498856582816,0.3,0.5998008959681433,0.6488960689283791,0.6233833419555096
xgboost_model_278,0.8,0.03,8,700,5,0.8,0.954971145446995,0.9835551111852263,0.5940962329851218,0.8661589938848506,0.7047833638454678,0.9410251269713981,0.9558936512378883,0.5173192771084337,0.7399030694668821,0.6089076002658985,0.62,0.5959203496843127,0.6607431340872375,0.6266598569969356
xgboost_model_277,0.8,0.03,8,700,1,0.8,0.9718686008047771,0.9870431316671222,0.8801347881899871,0.6328602746048229,0.7362910262433721,0.9580326116011761,0.9558810667933398,0.7453061224489796,0.49165320409262253,0.5924724205061648,0.3,0.6146415861718353,0.6510500807754442,0.6323221757322176
xgboost_model_245,0.8,0.03,5,900,1,0.8,0.9621740437901851,0.9729965997739344,0.8055254604550379,0.5147109726548978,0.6280887011615628,0.9579657845495857,0.9558216263948135,0.7579672695951766,0.47388260635433493,0.583167660702452,0.29,0.6028084252758275,0.6472805600430802,0.6242534406647624
xgboost_model_290,0.8,0.05,5,700,5,0.8,0.9427276502513139,0.9725090240824956,0.5247370759887424,0.8174685589015807,0.6391808381072669,0.9376503608660786,0.9558165715150292,0.4984070796460177,0.7582121701669359,0.6014523707817172,0.69,0.6363131593559134,0.617124394184168,0.626571897211591
xgboost_model_313,0.8,0.05,7,700,1,0.8,0.9733578680566495,0.9878737647511964,0.8856830941983781,0.6552440290758048,0.7532329730088202,0.9581996792301524,0.9558116029614652,0.7404761904761905,0.5024232633279483,0.5986525505293552,0.28,0.6056475170399221,0.6698976844372644,0.636154436205574
xgboost_model_285,0.8,0.03,8,1100,1,0.8,0.9780333080348832,0.9920612701288014,0.9170266646804708,0.7102803738317757,0.800520156046814,0.9583333333333334,0.9557868273362604,0.7428343949044586,0.5024232633279483,0.5994217796337937,0.32,0.6366090712742981,0.6348949919224556,0.6357508762469668
xgboost_model_281,0.8,0.03,8,900,1,0.8,0.9751908123666462,0.9899148820984423,0.901885043263288,0.6734740971501096,0.7711209459013145,0.9581328521785619,0.9557857050953974,0.7439418416801292,0.49596122778675283,0.5951534733441034,0.28,0.6027330405075647,0.6650511577813678,0.6323604710701485
xgboost_model_266,0.8,0.03,7,700,5,0.8,0.9485200406684519,0.9780993517457915,0.5565337211972747,0.8388138917733934,0.6691210308329498,0.938819834268912,0.9557768806373299,0.5046863734679163,0.7539041464728056,0.6046210321744764,0.66,0.6133402813965607,0.633817985998923,0.6234110169491526
xgboost_model_301,0.8,0.05,6,700,1,0.8,0.9680953131041198,0.9821189415717129,0.8486504388143732,0.5913234106380524,0.6969944240446077,0.9580660251269714,0.9557727369787592,0.7459150326797386,0.49165320409262253,0.5926647192469977,0.27,0.5864168618266979,0.6742057081313947,0.627254509018036
